date,BPP,CPI
7/1/08,100,100
7/2/08,99.887,100
7/3/08,99.867,100
7/4/08,99.845,100
7/5/08,99.893,100
7/6/08,99.91,100
7/7/08,99.943,100
7/8/08,99.957,100
7/9/08,99.993,100
7/10/08,99.996,100
7/11/08,99.958,100
7/12/08,99.959,100
7/13/08,99.886,100
7/14/08,99.906,100
7/15/08,99.919,100
7/16/08,99.958,100
7/17/08,99.985,100
7/18/08,99.994,100
7/19/08,99.962,100
7/20/08,100.014,100
7/21/08,100.075,100
7/22/08,100.079,100
7/23/08,100.101,100
7/24/08,100.104,100
7/25/08,100.142,100
7/26/08,100.105,100
7/27/08,100.096,100
7/28/08,100.125,100
7/29/08,100.119,100
7/30/08,100.114,100
7/31/08,100.132,100
8/1/08,100.207,100.525
8/2/08,100.191,100.525
8/3/08,100.206,100.525
8/4/08,100.245,100.525
8/5/08,100.225,100.525
8/6/08,100.218,100.525
8/7/08,100.23,100.525
8/8/08,100.205,100.525
8/9/08,100.12,100.525
8/10/08,100.126,100.525
8/11/08,100.146,100.525
8/12/08,100.088,100.525
8/13/08,100.126,100.525
8/14/08,100.095,100.525
8/15/08,100.082,100.525
8/16/08,100.101,100.525
8/17/08,100.142,100.525
8/18/08,100.16,100.525
8/19/08,100.205,100.525
8/20/08,100.156,100.525
8/21/08,100.182,100.525
8/22/08,100.211,100.525
8/23/08,100.182,100.525
8/24/08,100.206,100.525
8/25/08,100.236,100.525
8/26/08,100.253,100.525
8/27/08,100.25,100.525
8/28/08,100.271,100.525
8/29/08,100.266,100.525
8/30/08,100.263,100.525
8/31/08,100.292,100.525
9/1/08,100.342,100.124
9/2/08,100.44,100.124
9/3/08,100.459,100.124
9/4/08,100.452,100.124
9/5/08,100.449,100.124
9/6/08,100.471,100.124
9/7/08,100.453,100.124
9/8/08,100.475,100.124
9/9/08,100.483,100.124
9/10/08,100.485,100.124
9/11/08,100.429,100.124
9/12/08,100.414,100.124
9/13/08,100.438,100.124
9/14/08,100.458,100.124
9/15/08,100.468,100.124
9/16/08,100.5,100.124
9/17/08,100.379,100.124
9/18/08,100.322,100.124
9/19/08,100.223,100.124
9/20/08,100.215,100.124
9/21/08,100.204,100.124
9/22/08,100.194,100.124
9/23/08,99.676,100.124
9/24/08,99.508,100.124
9/25/08,99.425,100.124
9/26/08,99.417,100.124
9/27/08,99.443,100.124
9/28/08,99.469,100.124
9/29/08,99.495,100.124
9/30/08,99.356,100.124
10/1/08,99.197,99.985
10/2/08,99.263,99.985
10/3/08,99.27,99.985
10/4/08,99.095,99.985
10/5/08,99.148,99.985
10/6/08,99.091,99.985
10/7/08,99.081,99.985
10/8/08,99.001,99.985
10/9/08,98.997,99.985
10/10/08,99.033,99.985
10/11/08,99.033,99.985
10/12/08,99.023,99.985
10/13/08,99.073,99.985
10/14/08,99.073,99.985
10/15/08,99.05,99.985
10/16/08,99.055,99.985
10/17/08,99.072,99.985
10/18/08,98.937,99.985
10/19/08,98.887,99.985
10/20/08,98.9,99.985
10/21/08,98.881,99.985
10/22/08,98.897,99.985
10/23/08,98.856,99.985
10/24/08,98.882,99.985
10/25/08,98.908,99.985
10/26/08,98.775,99.985
10/27/08,98.812,99.985
10/28/08,98.797,99.985
10/29/08,98.813,99.985
10/30/08,98.797,99.985
10/31/08,98.805,99.985
11/1/08,98.822,98.975
11/2/08,98.889,98.975
11/3/08,98.923,98.975
11/4/08,98.892,98.975
11/5/08,98.899,98.975
11/6/08,98.805,98.975
11/7/08,98.694,98.975
11/8/08,98.454,98.975
11/9/08,98.47,98.975
11/10/08,98.502,98.975
11/11/08,98.5,98.975
11/12/08,98.502,98.975
11/13/08,98.189,98.975
11/14/08,98.152,98.975
11/15/08,98.146,98.975
11/16/08,98.189,98.975
11/17/08,98.228,98.975
11/18/08,98.226,98.975
11/19/08,98.222,98.975
11/20/08,98.022,98.975
11/21/08,97.857,98.975
11/22/08,97.855,98.975
11/23/08,97.901,98.975
11/24/08,97.905,98.975
11/25/08,97.893,98.975
11/26/08,97.961,98.975
11/27/08,97.966,98.975
11/28/08,97.957,98.975
11/29/08,97.866,98.975
11/30/08,97.957,98.975
12/1/08,98.006,97.08
12/2/08,98.057,97.08
12/3/08,97.977,97.08
12/4/08,97.949,97.08
12/5/08,97.976,97.08
12/6/08,97.919,97.08
12/7/08,97.876,97.08
12/8/08,97.913,97.08
12/9/08,97.915,97.08
12/10/08,97.707,97.08
12/11/08,97.546,97.08
12/12/08,97.47,97.08
12/13/08,97.399,97.08
12/14/08,97.279,97.08
12/15/08,97.299,97.08
12/16/08,97.262,97.08
12/17/08,96.983,97.08
12/18/08,96.651,97.08
12/19/08,96.676,97.08
12/20/08,96.605,97.08
12/21/08,96.673,97.08
12/22/08,96.695,97.08
12/23/08,96.701,97.08
12/24/08,96.706,97.08
12/25/08,96.706,97.08
12/26/08,96.769,97.08
12/27/08,96.778,97.08
12/28/08,96.801,97.08
12/29/08,96.844,97.08
12/30/08,96.845,97.08
12/31/08,96.844,97.08
1/1/09,96.883,96.076
1/2/09,97.01,96.076
1/3/09,97.006,96.076
1/4/09,97.034,96.076
1/5/09,97.059,96.076
1/6/09,97.063,96.076
1/7/09,97.076,96.076
1/8/09,97.066,96.076
1/9/09,97.098,96.076
1/10/09,97.09,96.076
1/11/09,97.128,96.076
1/12/09,97.144,96.076
1/13/09,97.158,96.076
1/14/09,97.143,96.076
1/15/09,97.148,96.076
1/16/09,97.146,96.076
1/17/09,97.159,96.076
1/18/09,97.198,96.076
1/19/09,97.191,96.076
1/20/09,97.168,96.076
1/21/09,97.18,96.076
1/22/09,97.168,96.076
1/23/09,97.181,96.076
1/24/09,97.185,96.076
1/25/09,97.164,96.076
1/26/09,97.202,96.076
1/27/09,97.209,96.076
1/28/09,97.157,96.076
1/29/09,97.176,96.076
1/30/09,97.163,96.076
1/31/09,97.173,96.076
2/1/09,97.221,96.494
2/2/09,97.297,96.494
2/3/09,97.288,96.494
2/4/09,97.314,96.494
2/5/09,97.293,96.494
2/6/09,97.27,96.494
2/7/09,97.256,96.494
2/8/09,97.226,96.494
2/9/09,97.235,96.494
2/10/09,97.286,96.494
2/11/09,97.281,96.494
2/12/09,97.317,96.494
2/13/09,97.308,96.494
2/14/09,97.299,96.494
2/15/09,97.302,96.494
2/16/09,97.315,96.494
2/17/09,97.278,96.494
2/18/09,97.278,96.494
2/19/09,97.277,96.494
2/20/09,97.299,96.494
2/21/09,97.312,96.494
2/22/09,97.35,96.494
2/23/09,97.369,96.494
2/24/09,97.151,96.494
2/25/09,97.126,96.494
2/26/09,97.137,96.494
2/27/09,97.145,96.494
2/28/09,97.161,96.494
3/1/09,97.188,96.974
3/2/09,97.213,96.974
3/3/09,97.283,96.974
3/4/09,97.313,96.974
3/5/09,97.299,96.974
3/6/09,97.345,96.974
3/7/09,97.354,96.974
3/8/09,97.381,96.974
3/9/09,97.417,96.974
3/10/09,97.419,96.974
3/11/09,97.43,96.974
3/12/09,97.402,96.974
3/13/09,97.422,96.974
3/14/09,97.424,96.974
3/15/09,97.477,96.974
3/16/09,97.498,96.974
3/17/09,97.509,96.974
3/18/09,97.502,96.974
3/19/09,97.455,96.974
3/20/09,97.46,96.974
3/21/09,97.481,96.974
3/22/09,97.318,96.974
3/23/09,97.341,96.974
3/24/09,97.301,96.974
3/25/09,97.353,96.974
3/26/09,97.345,96.974
3/27/09,97.378,96.974
3/28/09,97.358,96.974
3/29/09,97.377,96.974
3/30/09,97.401,96.974
3/31/09,97.405,96.974
4/1/09,97.432,97.21
4/2/09,97.51,97.21
4/3/09,97.513,97.21
4/4/09,97.522,97.21
4/5/09,97.431,97.21
4/6/09,97.436,97.21
4/7/09,97.46,97.21
4/8/09,97.324,97.21
4/9/09,97.32,97.21
4/10/09,97.285,97.21
4/11/09,97.278,97.21
4/12/09,97.307,97.21
4/13/09,97.325,97.21
4/14/09,97.331,97.21
4/15/09,97.317,97.21
4/16/09,97.329,97.21
4/17/09,97.24,97.21
4/18/09,97.256,97.21
4/19/09,97.205,97.21
4/20/09,97.233,97.21
4/21/09,97.245,97.21
4/22/09,97.265,97.21
4/23/09,97.266,97.21
4/24/09,97.264,97.21
4/25/09,97.271,97.21
4/26/09,97.293,97.21
4/27/09,97.325,97.21
4/28/09,97.345,97.21
4/29/09,97.385,97.21
4/30/09,97.418,97.21
5/1/09,97.397,97.452
5/2/09,97.463,97.452
5/3/09,97.377,97.452
5/4/09,97.418,97.452
5/5/09,97.412,97.452
5/6/09,97.428,97.452
5/7/09,97.433,97.452
5/8/09,97.427,97.452
5/9/09,97.417,97.452
5/10/09,97.408,97.452
5/11/09,97.433,97.452
5/12/09,97.45,97.452
5/13/09,97.458,97.452
5/14/09,97.446,97.452
5/15/09,97.449,97.452
5/16/09,97.437,97.452
5/17/09,97.453,97.452
5/18/09,97.49,97.452
5/19/09,97.512,97.452
5/20/09,97.536,97.452
5/21/09,97.515,97.452
5/22/09,97.523,97.452
5/23/09,97.523,97.452
5/24/09,97.528,97.452
5/25/09,97.551,97.452
5/26/09,97.591,97.452
5/27/09,97.612,97.452
5/28/09,97.636,97.452
5/29/09,97.612,97.452
5/30/09,97.638,97.452
5/31/09,97.505,97.452
6/1/09,97.501,97.734
6/2/09,97.575,97.734
6/3/09,97.583,97.734
6/4/09,97.572,97.734
6/5/09,97.568,97.734
6/6/09,97.54,97.734
6/7/09,97.563,97.734
6/8/09,97.59,97.734
6/9/09,97.599,97.734
6/10/09,97.621,97.734
6/11/09,97.567,97.734
6/12/09,97.6,97.734
6/13/09,97.566,97.734
6/14/09,97.359,97.734
6/15/09,97.367,97.734
6/16/09,97.36,97.734
6/17/09,97.384,97.734
6/18/09,97.406,97.734
6/19/09,97.418,97.734
6/20/09,97.421,97.734
6/21/09,97.444,97.734
6/22/09,97.45,97.734
6/23/09,97.449,97.734
6/24/09,97.44,97.734
6/25/09,97.421,97.734
6/26/09,97.41,97.734
6/27/09,97.407,97.734
6/28/09,97.274,97.734
6/29/09,97.309,97.734
6/30/09,97.332,97.734
7/1/09,97.389,98.573
7/2/09,97.448,98.573
7/3/09,97.46,98.573
7/4/09,97.506,98.573
7/5/09,97.53,98.573
7/6/09,97.563,98.573
7/7/09,97.559,98.573
7/8/09,97.571,98.573
7/9/09,97.527,98.573
7/10/09,97.516,98.573
7/11/09,97.53,98.573
7/12/09,97.424,98.573
7/13/09,97.465,98.573
7/14/09,97.469,98.573
7/15/09,97.515,98.573
7/16/09,97.523,98.573
7/17/09,97.493,98.573
7/18/09,97.501,98.573
7/19/09,97.533,98.573
7/20/09,97.555,98.573
7/21/09,97.56,98.573
7/22/09,97.581,98.573
7/23/09,97.594,98.573
7/24/09,97.631,98.573
7/25/09,97.61,98.573
7/26/09,97.538,98.573
7/27/09,97.564,98.573
7/28/09,97.613,98.573
7/29/09,97.627,98.573
7/30/09,97.621,98.573
7/31/09,97.645,98.573
8/1/09,97.658,98.417
8/2/09,97.747,98.417
8/3/09,97.77,98.417
8/4/09,97.761,98.417
8/5/09,97.786,98.417
8/6/09,97.76,98.417
8/7/09,97.627,98.417
8/8/09,97.588,98.417
8/9/09,97.46,98.417
8/10/09,97.505,98.417
8/11/09,97.494,98.417
8/12/09,97.57,98.417
8/13/09,97.51,98.417
8/14/09,97.576,98.417
8/15/09,97.582,98.417
8/16/09,97.607,98.417
8/17/09,97.619,98.417
8/18/09,97.634,98.417
8/19/09,97.642,98.417
8/20/09,97.674,98.417
8/21/09,97.66,98.417
8/22/09,97.549,98.417
8/23/09,97.564,98.417
8/24/09,97.583,98.417
8/25/09,97.605,98.417
8/26/09,97.613,98.417
8/27/09,97.624,98.417
8/28/09,97.642,98.417
8/29/09,97.663,98.417
8/30/09,97.679,98.417
8/31/09,97.685,98.417
9/1/09,97.704,98.638
9/2/09,97.826,98.638
9/3/09,97.783,98.638
9/4/09,97.907,98.638
9/5/09,97.942,98.638
9/6/09,97.942,98.638
9/7/09,97.813,98.638
9/8/09,97.868,98.638
9/9/09,98.026,98.638
9/10/09,97.927,98.638
9/11/09,98.01,98.638
9/12/09,97.861,98.638
9/13/09,97.9,98.638
9/14/09,97.929,98.638
9/15/09,97.973,98.638
9/16/09,98.104,98.638
9/17/09,98.127,98.638
9/18/09,98.157,98.638
9/19/09,98.152,98.638
